Sensitive_Strain	Supernatant	Concentration	Tech_repl	Biol_repl	Plate_number	control	AUC	normAUC	fConcentration
B. thetaiotamicron	B. vulgatus pSG62#2	5	tech2	biol1	plate8	FALSE	10.698734177215192	0.7065514622861667	5
B. thetaiotamicron	B. vulgatus pSG62#2	5	tech2	biol2	plate8	FALSE	12.9831223628692	0.9739321776398291	5
B. thetaiotamicron	B. vulgatus pSG62#2	5	tech2	biol3	plate5	FALSE	13.907172995780593	0.9058510345344526	5
B. thetaiotamicron	B. vulgatus pSG62#2	10	tech1	biol1	plate8	FALSE	0.7704641350210971	0.050881959699264095	10
B. thetaiotamicron	B. vulgatus pSG62#2	10	tech1	biol2	plate8	FALSE	-0.23037974683544277	-0.017281994442357687	10
B. thetaiotamicron	B. vulgatus pSG62#2	10	tech1	biol3	plate5	FALSE	-0.192405063291139	-0.012532405089432942	10
B. thetaiotamicron	B. vulgatus pSG62#2	10	tech2	biol1	plate8	FALSE	0.4987341772151899	0.03293673404410195	10
B. thetaiotamicron	B. vulgatus pSG62#2	10	tech2	biol2	plate8	FALSE	-0.13755274261603354	-0.010318553458257515	10
B. thetaiotamicron	B. vulgatus pSG62#2	10	tech2	biol3	plate5	FALSE	-0.19071729957805886	-0.012422471711455463	10
B. thetaiotamicron	B. vulgatus pSG67#2	0	tech1	biol1	plate8	TRUE	15.153175591531756	1.0007257115778383	0
B. thetaiotamicron	B. vulgatus pSG67#2	0	tech1	biol2	plate8	TRUE	13.583229555832297	1.018949369107684	0
B. thetaiotamicron	B. vulgatus pSG67#2	0	tech1	biol3	plate5	TRUE	15.313408053134081	0.9974468953099497	0
B. thetaiotamicron	B. vulgatus pSG67#2	0	tech2	biol1	plate8	TRUE	15.290992112909922	1.0098272055577815	0
B. thetaiotamicron	B. vulgatus pSG67#2	0	tech2	biol2	plate8	TRUE	13.382316313823164	1.0038778119092209	0
B. thetaiotamicron	B. vulgatus pSG67#2	0	tech2	biol3	plate5	TRUE	15.364881693648817	1.0007996579832605	0
B. thetaiotamicron	B. vulgatus pSG67#2	5	tech1	biol1	plate8	FALSE	15.808219178082194	1.043985222121062	5
B. thetaiotamicron	B. vulgatus pSG67#2	5	tech1	biol2	plate8	FALSE	13.879618098796183	1.0411830299335165	5
B. thetaiotamicron	B. vulgatus pSG67#2	5	tech1	biol3	plate5	FALSE	16.292237442922378	1.0612034629201657	5
B. thetaiotamicron	B. vulgatus pSG67#2	5	tech2	biol1	plate8	FALSE	15.888750518887505	1.0493035649888598	5
B. thetaiotamicron	B. vulgatus pSG67#2	5	tech2	biol2	plate8	FALSE	13.827314238273143	1.0372594427289579	5
B. thetaiotamicron	B. vulgatus pSG67#2	5	tech2	biol3	plate5	FALSE	16.012453300124534	1.0429795754862023	5
B. thetaiotamicron	B. vulgatus pSG67#2	10	tech1	biol1	plate8	FALSE	14.623495226234953	0.9657452708597438	10
B. thetaiotamicron	B. vulgatus pSG67#2	10	tech1	biol2	plate8	FALSE	9.04524699045247	0.6785314697407383	10
B. thetaiotamicron	B. vulgatus pSG67#2	10	tech1	biol3	plate5	FALSE	15.820672478206726	1.030487830687254	10
B. thetaiotamicron	B. vulgatus pSG67#2	10	tech2	biol1	plate8	FALSE	14.643420506434207	0.9670611495074466	10
