strain	supernatant	conc	drug	well	tech_repl	biol_repl	plate_number	experiment_number	AUC	maxOD	finalOD
B. vulgatus	B. thetaiotaomicron	10	Niclosamide	F9	tech2	biol1	plate2	146	0.004853527474432315	0.008539709649871913	0.008539709649871913
B. vulgatus	B. thetaiotaomicron	10	Niclosamide	F9	tech2	biol2	plate2	148	0.0017977528089887659	0.005231037489102011	-0.0017436791630340035
B. vulgatus	B. thetaiotaomicron	10	Niclosamide	F9	tech2	biol3	plate2	149	0.00568383658969805	0.018382352941176485	0.007352941176470594
B. vulgatus	C. aerofaciens	0	Niclosamide	E4	tech1	biol1	plate2	146	0.9962831559385033	0.9991460290350129	0.9991460290350129
B. vulgatus	C. aerofaciens	0	Niclosamide	E4	tech1	biol2	plate2	148	0.9868477606808218	1.0043591979075852	1.0043591979075852
B. vulgatus	C. aerofaciens	0	Niclosamide	E4	tech1	biol3	plate2	149	1.008895414111754	1.0312499999999998	1.0312499999999998
B. vulgatus	C. aerofaciens	0	Niclosamide	F4	tech2	biol1	plate2	146	1.0037168440614967	1.0025619128949617	1.0025619128949617
B. vulgatus	C. aerofaciens	0	Niclosamide	F4	tech2	biol2	plate2	148	1.0131522393191783	1.014821272885789	1.014821272885789
B. vulgatus	C. aerofaciens	0	Niclosamide	F4	tech2	biol3	plate2	149	0.991104585888246	0.9981617647058824	0.9981617647058824
B. vulgatus	C. aerofaciens	5	Niclosamide	E5	tech1	biol1	plate2	146	0.9494847102551108	1.0025619128949617	1.0025619128949617
B. vulgatus	C. aerofaciens	5	Niclosamide	E5	tech1	biol2	plate2	148	0.8446660362761111	0.981691368788143	0.981691368788143
B. vulgatus	C. aerofaciens	5	Niclosamide	E5	tech1	biol3	plate2	149	0.0037999827273512434	0.0018382352941176486	0
B. vulgatus	C. aerofaciens	5	Niclosamide	F5	tech2	biol1	plate2	146	0.962324717013009	0.9974380871050386	0.9974380871050386
B. vulgatus	C. aerofaciens	5	Niclosamide	F5	tech2	biol2	plate2	148	0.8493080030946447	0.979947689625109	0.979947689625109
B. vulgatus	C. aerofaciens	5	Niclosamide	F5	tech2	biol3	plate2	149	0.005354521115813115	0.01286764705882354	0.003676470588235297
B. vulgatus	C. aerofaciens	10	Niclosamide	E6	tech1	biol1	plate2	146	0.06741003547896605	0.30401366353543985	0.30401366353543985
B. vulgatus	C. aerofaciens	10	Niclosamide	E6	tech1	biol2	plate2	148	0.012034728788790517	0.05231037489102006	0.05231037489102006
B. vulgatus	C. aerofaciens	10	Niclosamide	E6	tech1	biol3	plate2	149	0.003281803264530619	0.0018382352941176486	0
B. vulgatus	C. aerofaciens	10	Niclosamide	F6	tech2	biol1	plate2	146	0.0712958269978037	0.3313407344150299	0.3313407344150299
B. vulgatus	C. aerofaciens	10	Niclosamide	F6	tech2	biol2	plate2	148	0.02320983409266742	0.10462074978204013	0.10462074978204013
B. vulgatus	C. aerofaciens	10	Niclosamide	F6	tech2	biol3	plate2	149	0.0025908973141031202	0.0018382352941176486	0.0018382352941176486
B. vulgatus	C. comes	0	Niclosamide	A6	tech1	biol1	plate7	178	1.021854043392505	1.02803738317757	1.02803738317757
B. vulgatus	C. comes	0	Niclosamide	A6	tech1	biol2	plate7	181	1.0215774492700394	1.0017482517482517	1.0017482517482517
B. vulgatus	C. comes	0	Niclosamide	A6	tech1	biol3	plate4	183	1.0279815267590329	1.0062111801242235	1.0062111801242235
B. vulgatus	C. comes	0	Niclosamide	B5	tech1	biol1	plate3	20	1.0472103004291844	1.0983935742971889	1.0983935742971889
B. vulgatus	C. comes	0	Niclosamide	B5	tech1	biol2	plate3	21	1.012549019607843	0.9932170542635658	0.9932170542635658
B. vulgatus	C. comes	0	Niclosamide	B5	tech1	biol3	plate3	22	1.0275302040007923	1.0454096742349457	1.0454096742349457
B. vulgatus	C. comes	0	Niclosamide	B6	tech2	biol1	plate7	178	0.978145956607495	1.039932030586236	1.039932030586236
B. vulgatus	C. comes	0	Niclosamide	B6	tech2	biol2	plate7	181	0.9784225507299604	0.9982517482517482	0.9982517482517482
B. vulgatus	C. comes	0	Niclosamide	B6	tech2	biol3	plate4	183	0.9720184732409671	0.9937888198757765	0.9937888198757765
B. vulgatus	C. comes	0	Niclosamide	C5	tech2	biol1	plate3	20	1	1.0783132530120483	1.0783132530120483
B. vulgatus	C. comes	0	Niclosamide	C5	tech2	biol2	plate3	21	1	1.0067829457364341	1.0067829457364341
B. vulgatus	C. comes	0	Niclosamide	C5	tech2	biol3	plate3	22	1	1.0493583415597236	1.0493583415597236
B. vulgatus	C. comes	0	Niclosamide	D5	tech3	biol1	plate3	20	0.9391338275458446	1.0421686746987953	1.0421686746987953
B. vulgatus	C. comes	0	Niclosamide	D5	tech3	biol2	plate3	21	0.9405882352941177	1.012596899224806	1.012596899224806
B. vulgatus	C. comes	0	Niclosamide	D5	tech3	biol3	plate3	22	0.9726678550207961	1.0533070088845016	1.0533070088845016
B. vulgatus	C. comes	5	Niclosamide	A7	tech1	biol1	plate7	178	0.13191321499013808	0.5845369583687341	0.5845369583687341
B. vulgatus	C. comes	5	Niclosamide	A7	tech1	biol2	plate7	181	1.0441649068037828	1.0104895104895104	1.0104895104895104
B. vulgatus	C. comes	5	Niclosamide	A7	tech1	biol3	plate4	183	1.0576836004708865	1.036379769299024	1.036379769299024
B. vulgatus	C. comes	5	Niclosamide	B7	tech1	biol1	plate3	20	1.0290674990245805	1.0943775100401607	1.0943775100401607
B. vulgatus	C. comes	5	Niclosamide	B7	tech1	biol3	plate3	22	1.0643691820162409	1.0888450148075022	1.0888450148075022
B. vulgatus	C. comes	5	Niclosamide	B7	tech2	biol1	plate7	178	0.11597633136094676	0.5386576040781648	0.5386576040781648
B. vulgatus	C. comes	5	Niclosamide	B7	tech2	biol2	plate7	181	0.99862271600404	1.013986013986014	1.013986013986014
B. vulgatus	C. comes	5	Niclosamide	B7	tech2	biol3	plate4	183	1.0011772163361408	1.0186335403726707	1.0186335403726707
B. vulgatus	C. comes	5	Niclosamide	C7	tech2	biol1	plate3	20	1.0177526336324618	1.0963855421686748	1.0963855421686748
B. vulgatus	C. comes	5	Niclosamide	C7	tech2	biol2	plate3	21	1.0513725490196077	1.066860465116279	1.066860465116279
B. vulgatus	C. comes	5	Niclosamide	C7	tech2	biol3	plate3	22	1.0077243018419488	1.0750246791707796	1.0750246791707796
B. vulgatus	C. comes	5	Niclosamide	D7	tech3	biol1	plate3	20	0.986149044088958	1.0823293172690764	1.0823293172690764
B. vulgatus	C. comes	5	Niclosamide	D7	tech3	biol2	plate3	21	0.9343137254901959	1.1191860465116277	1.1191860465116277
B. vulgatus	C. comes	5	Niclosamide	D7	tech3	biol3	plate3	22	1.0255496137849078	1.094768015794669	1.094768015794669
B. vulgatus	C. comes	10	Niclosamide	A8	tech1	biol1	plate7	178	0.006153846153846161	0.01359388275276127	0.0016992353440951587
B. vulgatus	C. comes	10	Niclosamide	A8	tech1	biol2	plate7	181	0.006978238912863839	0.01923076923076925	0.01923076923076925
B. vulgatus	C. comes	10	Niclosamide	A8	tech1	biol3	plate4	183	0.008693289866884007	0.003549245785270633	0.003549245785270633
B. vulgatus	C. comes	10	Niclosamide	B6	tech1	biol1	plate3	20	1.0238002341006633	1.066265060240964	1.066265060240964
B. vulgatus	C. comes	10	Niclosamide	B6	tech1	biol2	plate3	21	0.9772549019607842	0.937015503875969	0.937015503875969
B. vulgatus	C. comes	10	Niclosamide	B6	tech1	biol3	plate3	22	1.0033670033670032	1.0434353405725565	1.0434353405725565
B. vulgatus	C. comes	10	Niclosamide	B8	tech2	biol1	plate7	178	0.004102564102564107	0	0
B. vulgatus	C. comes	10	Niclosamide	B8	tech2	biol2	plate7	181	0.006427325314479851	0.00874125874125875	0.00874125874125875
B. vulgatus	C. comes	10	Niclosamide	B8	tech2	biol3	plate4	183	0.007063298016843256	0.003549245785270633	0.003549245785270633
B. vulgatus	C. comes	10	Niclosamide	C6	tech2	biol1	plate3	20	1.0039016777214198	1.0562248995983936	1.0562248995983936
B. vulgatus	C. comes	10	Niclosamide	C6	tech2	biol2	plate3	21	0.9425490196078431	0.946705426356589	0.946705426356589
B. vulgatus	C. comes	10	Niclosamide	C6	tech2	biol3	plate3	22	0.9799960388195681	1.0414610069101677	1.0414610069101677
B. vulgatus	C. comes	10	Niclosamide	D6	tech3	biol1	plate3	20	0.9559110417479514	1.028112449799197	1.028112449799197
B. vulgatus	C. comes	10	Niclosamide	D6	tech3	biol2	plate3	21	0.8727450980392155	0.8749999999999999	0.8749999999999999
B. vulgatus	C. comes	10	Niclosamide	D6	tech3	biol3	plate3	22	0.9720736779560307	1.0315893385982229	1.0315893385982229
B. vulgatus	C. perfringens	0	Niclosamide	B9	tech1	biol1	plate2	20	1.0426955552015293	1.0959377700950734	1.08038029386344
B. vulgatus	C. perfringens	0	Niclosamide	B9	tech1	biol2	plate2	21	1	1.0733870967741934	1.0620967741935483
B. vulgatus	C. perfringens	0	Niclosamide	B9	tech1	biol3	plate2	22	0.9414667347286032	0.9771729587357333	0.9771729587357333
B. vulgatus	C. perfringens	0	Niclosamide	C9	tech2	biol1	plate2	20	0.9746694280707344	1.0388936905790838	1.0198789974070872
B. vulgatus	C. perfringens	0	Niclosamide	C9	tech2	biol2	plate2	21	1.002988898377455	1.089516129032258	1.0766129032258065
B. vulgatus	C. perfringens	0	Niclosamide	C9	tech2	biol3	plate2	22	1.0335205036583293	1.1176470588235297	1.1035996488147501
B. vulgatus	C. perfringens	0	Niclosamide	D9	tech3	biol1	plate2	20	1	1.094209161624892	1.0682800345721695
B. vulgatus	C. perfringens	0	Niclosamide	D9	tech3	biol2	plate2	21	0.9847708511243951	1.071774193548387	1.071774193548387
B. vulgatus	C. perfringens	0	Niclosamide	D9	tech3	biol3	plate2	22	1	1.0877963125548729	1.0719929762949958
B. vulgatus	C. perfringens	5	Niclosamide	B11	tech1	biol1	plate2	20	0.8736657638999522	0.950734658599827	0.950734658599827
B. vulgatus	C. perfringens	5	Niclosamide	B11	tech1	biol2	plate2	21	0.3296327924850555	0.7201612903225806	0.7201612903225806
B. vulgatus	C. perfringens	5	Niclosamide	B11	tech1	biol3	plate2	22	0.9567806704100733	1.0930640913081653	1.0930640913081653
B. vulgatus	C. perfringens	5	Niclosamide	C11	tech2	biol1	plate2	20	0.8859327704317349	0.9732065687121866	0.9732065687121866
B. vulgatus	C. perfringens	5	Niclosamide	C11	tech2	biol2	plate2	21	0.2899231426131511	0.6798387096774192	0.6798387096774192
B. vulgatus	C. perfringens	5	Niclosamide	C11	tech2	biol3	plate2	22	0.9429981282967502	1.0948200175592626	1.0948200175592626
B. vulgatus	C. perfringens	5	Niclosamide	D11	tech3	biol1	plate2	20	0.8781264935478731	0.9714779602420051	0.9714779602420051
B. vulgatus	C. perfringens	5	Niclosamide	D11	tech3	biol2	plate2	21	0.282379732422431	0.6701612903225806	0.6701612903225806
B. vulgatus	C. perfringens	5	Niclosamide	D11	tech3	biol3	plate2	22	0.9229198570699337	1.084284460052678	1.084284460052678
B. vulgatus	C. perfringens	10	Niclosamide	B10	tech1	biol1	plate2	20	0.01672773617970361	0.017286084701815054	-0.0017286084701815055
B. vulgatus	C. perfringens	10	Niclosamide	B10	tech1	biol2	plate2	21	0.005550811272416668	0.0024193548387096793	0.0024193548387096793
B. vulgatus	C. perfringens	10	Niclosamide	B10	tech1	biol3	plate2	22	0.01123021949974478	0.002633889376646184	0.002633889376646184
B. vulgatus	C. perfringens	10	Niclosamide	C10	tech2	biol1	plate2	20	0.005416600286761197	0.003457216940363011	0.003457216940363011
B. vulgatus	C. perfringens	10	Niclosamide	C10	tech2	biol2	plate2	21	0.008539709649871913	0.008870967741935491	0.007258064516129038
B. vulgatus	C. perfringens	10	Niclosamide	C10	tech2	biol3	plate2	22	0.010549600136123851	0.004389815627743591	0.004389815627743591
B. vulgatus	C. perfringens	10	Niclosamide	D10	tech3	biol1	plate2	20	0.010036641707822126	0.005185825410544516	0.005185825410544516
B. vulgatus	C. perfringens	10	Niclosamide	D10	tech3	biol2	plate2	21	0.007685738684884669	8.064516129032263e-4	8.064516129032263e-4
B. vulgatus	C. perfringens	10	Niclosamide	D10	tech3	biol3	plate2	22	0.006976348477114148	0.004389815627743591	0.004389815627743591
B. vulgatus	E. coli ED1a	0	Niclosamide	A9	tech1	biol1	plate1	200	1.0357193290598161	0.9869083585095669	0.9869083585095669
B. vulgatus	E. coli ED1a	0	Niclosamide	A9	tech1	biol2	plate3	200	0.9823008001774811	0.9871921182266009	0.9871921182266009
B. vulgatus	E. coli ED1a	0	Niclosamide	A9	tech1	biol3	plate5	200	0.9994882292732855	0.9688385269121812	0.9688385269121812
B. vulgatus	E. coli ED1a	0	Niclosamide	B8	tech1	biol1	plate3	20	1.021671181496145	0.9538152610441767	0.9538152610441767
B. vulgatus	E. coli ED1a	0	Niclosamide	B8	tech1	biol2	plate3	21	1.009141135107986	1.1036821705426354	1.1036821705426354
B. vulgatus	E. coli ED1a	0	Niclosamide	B8	tech1	biol3	plate3	22	1.0295483326298016	0.9506416584402763	0.9506416584402763
B. vulgatus	E. coli ED1a	0	Niclosamide	B9	tech2	biol1	plate1	200	1.0404494717887034	0.998992950654582	0.998992950654582
B. vulgatus	E. coli ED1a	0	Niclosamide	B9	tech2	biol2	plate3	200	0.996005667293565	1.012807881773399	1.012807881773399
B. vulgatus	E. coli ED1a	0	Niclosamide	B9	tech2	biol3	plate5	200	1.0005117707267146	0.9820585457979224	0.9820585457979224
B. vulgatus	E. coli ED1a	0	Niclosamide	C8	tech2	biol1	plate3	20	0.9904146697228589	0.9477911646586344	0.9477911646586344
B. vulgatus	E. coli ED1a	0	Niclosamide	C8	tech2	biol2	plate3	21	0.9908588648920141	0.8924418604651162	0.8924418604651162
B. vulgatus	E. coli ED1a	0	Niclosamide	C8	tech2	biol3	plate3	22	1	0.9486673247778873	0.9486673247778873
B. vulgatus	E. coli ED1a	0	Niclosamide	D8	tech3	biol1	plate3	20	1	0.9578313253012047	0.9578313253012047
B. vulgatus	E. coli ED1a	0	Niclosamide	D8	tech3	biol3	plate3	22	0.9926129168425497	0.9545903257650542	0.9545903257650542
B. vulgatus	E. coli ED1a	5	Niclosamide	A10	tech1	biol1	plate1	200	0.015100071019140134	0.01208459214501506	0.01208459214501506
B. vulgatus	E. coli ED1a	5	Niclosamide	A10	tech1	biol2	plate3	200	0.0069414262016528	0.001970443349753696	0.001970443349753696
B. vulgatus	E. coli ED1a	5	Niclosamide	A10	tech1	biol3	plate5	200	0.008870692596383411	0.007554296506137819	0.007554296506137819
B. vulgatus	E. coli ED1a	5	Niclosamide	B10	tech1	biol1	plate3	20	0.3921650343821629	0.8212851405622491	0.8212851405622491
B. vulgatus	E. coli ED1a	5	Niclosamide	B10	tech1	biol2	plate3	21	0.029733802109492745	0.004844961240310082	-0.012596899224806212
B. vulgatus	E. coli ED1a	5	Niclosamide	B10	tech1	biol3	plate3	22	0.016884761502743716	0.010858835143139144	0.010858835143139144
B. vulgatus	E. coli ED1a	5	Niclosamide	B10	tech2	biol1	plate1	200	0.016555499551105447	0.016112789526686766	0.016112789526686766
B. vulgatus	E. coli ED1a	5	Niclosamide	B10	tech2	biol2	plate3	200	0.010857102520533866	0.0059113300492610885	0.0059113300492610885
B. vulgatus	E. coli ED1a	5	Niclosamide	B10	tech2	biol3	plate5	200	0.007505970658478262	0.007554296506137819	0.007554296506137819
B. vulgatus	E. coli ED1a	5	Niclosamide	C10	tech2	biol1	plate3	20	0.3554907272348406	0.8032128514056225	0.8032128514056225
B. vulgatus	E. coli ED1a	5	Niclosamide	C10	tech2	biol2	plate3	21	0.13440482169763937	0.1191860465116279	-0.0067829457364341145
B. vulgatus	E. coli ED1a	5	Niclosamide	C10	tech2	biol3	plate3	22	0.01561840439003794	0.010858835143139144	0.010858835143139144
B. vulgatus	E. coli ED1a	5	Niclosamide	D10	tech3	biol1	plate3	20	0.3690352156699312	0.8052208835341366	0.8052208835341366
B. vulgatus	E. coli ED1a	5	Niclosamide	D10	tech3	biol3	plate3	22	0.017306880540312333	0.0088845014807502	0.0088845014807502
B. vulgatus	E. coli ED1a	10	Niclosamide	A11	tech1	biol1	plate1	200	0.003638571329913191	0.014098690835850913	0.010070493454179263
B. vulgatus	E. coli ED1a	10	Niclosamide	A11	tech1	biol2	plate3	200	0.006407470339987202	0.013793103448275819	0.009852216748768426
B. vulgatus	E. coli ED1a	10	Niclosamide	A11	tech1	biol3	plate5	200	0.0037529853292391706	0.02266288951841356	0.020774315391879093
B. vulgatus	E. coli ED1a	10	Niclosamide	B11	tech2	biol1	plate1	200	0.00800485692580923	0.006042296072507558	0.004028197381671705
B. vulgatus	E. coli ED1a	10	Niclosamide	B11	tech2	biol2	plate3	200	0.003559705744437335	0.009852216748768426	0.00788177339901473
B. vulgatus	E. coli ED1a	10	Niclosamide	B11	tech2	biol3	plate5	200	0.010747185261002984	0.009442870632672287	0.007554296506137819
B. vulgatus	E. coli ED1a	10	Niclosamide	B9	tech1	biol1	plate3	20	0.009376953531985798	0.008032128514056176	0.008032128514056176
B. vulgatus	E. coli ED1a	10	Niclosamide	B9	tech1	biol2	plate3	21	0.019889502762430955	0.06298449612403101	0.06298449612403101
B. vulgatus	E. coli ED1a	10	Niclosamide	B9	tech1	biol3	plate3	22	0.013929928239763517	0.01283316880552809	0.010858835143139144
B. vulgatus	E. coli ED1a	10	Niclosamide	C9	tech2	biol1	plate3	20	0.012502604709314451	0.002008032128514058	0.002008032128514058
B. vulgatus	E. coli ED1a	10	Niclosamide	C9	tech2	biol2	plate3	21	0.009643395278754404	0.0067829457364341145	0.0067829457364341145
B. vulgatus	E. coli ED1a	10	Niclosamide	C9	tech2	biol3	plate3	22	0.01350780920219498	0.006910167818361254	0.006910167818361254
B. vulgatus	E. coli ED1a	10	Niclosamide	D9	tech3	biol1	plate3	20	0.00937695353198584	0.002008032128514058	0.002008032128514058
B. vulgatus	E. coli ED1a	10	Niclosamide	D9	tech3	biol2	plate3	21	0.01707684580612758	0.008720930232558093	0.0067829457364341145
B. vulgatus	E. coli ED1a	10	Niclosamide	D9	tech3	biol3	plate3	22	0.01667370198395945	0.006910167818361254	0.006910167818361254
B. vulgatus	E. rectale	0	Niclosamide	A5	tech1	biol1	plate6	178	1.0152646963299774	0.9758534554537884	0.9758534554537884
B. vulgatus	E. rectale	0	Niclosamide	A5	tech1	biol2	plate6	181	1.0186846038863977	0.9913344887348353	0.9913344887348353
B. vulgatus	E. rectale	0	Niclosamide	A5	tech1	biol3	plate3	183	1.004609898234322	1.0025445292620867	1.0025445292620867
B. vulgatus	E. rectale	0	Niclosamide	B5	tech2	biol1	plate6	178	0.9847353036700227	1.0058284762697751	1.0058284762697751
B. vulgatus	E. rectale	0	Niclosamide	B5	tech2	biol2	plate6	181	0.9813153961136024	0.9982668977469671	0.9982668977469671
B. vulgatus	E. rectale	0	Niclosamide	B5	tech2	biol3	plate3	183	0.9953901017656779	1.0330788804071247	1.0330788804071247
B. vulgatus	E. rectale	0	Niclosamide	B8	tech1	biol1	plate1	20	1.0424660085677036	1.0135992747053488	1.0135992747053488
B. vulgatus	E. rectale	0	Niclosamide	B8	tech1	biol2	plate1	21	1	0.9895833333333334	0.9895833333333334
B. vulgatus	E. rectale	0	Niclosamide	B8	tech1	biol3	plate1	22	1	0.9909090909090909	0.9909090909090909
B. vulgatus	E. rectale	0	Niclosamide	C8	tech2	biol1	plate1	20	0.9901285155522443	0.9773345421577515	0.9773345421577515
B. vulgatus	E. rectale	0	Niclosamide	C8	tech2	biol2	plate1	21	0.9956408020924149	0.9965277777777778	0.9965277777777778
B. vulgatus	E. rectale	0	Niclosamide	C8	tech2	biol3	plate1	22	1.0066844919786095	1	1
B. vulgatus	E. rectale	0	Niclosamide	D8	tech3	biol1	plate1	20	1	1.0009066183136899	1.0009066183136899
B. vulgatus	E. rectale	0	Niclosamide	D8	tech3	biol2	plate1	21	1.000871839581517	1.015625	1.015625
B. vulgatus	E. rectale	0	Niclosamide	D8	tech3	biol3	plate1	22	0.9711611917494269	0.9854545454545455	0.9854545454545455
B. vulgatus	E. rectale	5	Niclosamide	A6	tech1	biol1	plate6	178	0.0029230269568041602	0.006661115736885934	0
B. vulgatus	E. rectale	5	Niclosamide	A6	tech1	biol2	plate6	181	0.0013079222720478337	-0.0034662045060658373	-0.0034662045060658373
B. vulgatus	E. rectale	5	Niclosamide	A6	tech1	biol3	plate3	183	0.006958336957467171	0.005089058524173034	0.005089058524173034
B. vulgatus	E. rectale	5	Niclosamide	B10	tech1	biol1	plate1	20	0.479046377351462	0.8902991840435175	0.8902991840435175
B. vulgatus	E. rectale	5	Niclosamide	B10	tech1	biol2	plate1	21	0.01726242371403661	0.006944444444444403	0.006944444444444403
B. vulgatus	E. rectale	5	Niclosamide	B10	tech1	biol3	plate1	22	0.5047746371275783	0.8672727272727272	0.8672727272727272
B. vulgatus	E. rectale	5	Niclosamide	B6	tech2	biol1	plate6	178	0.0064956154595648	0.016652789342214834	0.0016652789342214834
B. vulgatus	E. rectale	5	Niclosamide	B6	tech2	biol2	plate6	181	0.0028026905829596047	-0.0017331022530329306	-0.0017331022530329306
B. vulgatus	E. rectale	5	Niclosamide	B6	tech2	biol3	plate3	183	0.009045838044707323	0.011874469889737078	0.010178117048346067
B. vulgatus	E. rectale	5	Niclosamide	C10	tech2	biol1	plate1	20	0.4481281430433973	0.868540344514959	0.868540344514959
B. vulgatus	E. rectale	5	Niclosamide	C10	tech2	biol2	plate1	21	0.007672188317349571	0.0034722222222221774	0.0034722222222221774
B. vulgatus	E. rectale	5	Niclosamide	C10	tech2	biol3	plate1	22	0.42570664629488153	0.8563636363636362	0.8563636363636362
B. vulgatus	E. rectale	5	Niclosamide	D10	tech3	biol1	plate1	20	0.47718383311603646	0.897552130553037	0.897552130553037
B. vulgatus	E. rectale	5	Niclosamide	D10	tech3	biol2	plate1	21	0.008020924149956409	0.008680555555555516	0.008680555555555516
B. vulgatus	E. rectale	5	Niclosamide	D10	tech3	biol3	plate1	22	0.38903743315508016	0.8327272727272725	0.8327272727272725
B. vulgatus	E. rectale	10	Niclosamide	A7	tech1	biol1	plate6	178	0.0030854173432932797	0.006661115736885934	-0.0016652789342214834
B. vulgatus	E. rectale	10	Niclosamide	A7	tech1	biol2	plate6	181	0.003923766816143447	-0.0017331022530329306	-0.0017331022530329306
B. vulgatus	E. rectale	10	Niclosamide	A7	tech1	biol3	plate3	183	0.00956771331651736	0.005089058524173034	0.005089058524173034
B. vulgatus	E. rectale	10	Niclosamide	B7	tech2	biol1	plate6	178	0.00519649236765184	0.013322231473771868	0
B. vulgatus	E. rectale	10	Niclosamide	B7	tech2	biol2	plate6	181	0.0028026905829596433	0	0
B. vulgatus	E. rectale	10	Niclosamide	B7	tech2	biol3	plate3	183	0.0036531269026702632	0.020356234096692134	0.020356234096692134
B. vulgatus	E. rectale	10	Niclosamide	B9	tech1	biol1	plate1	20	0.008753957906500288	0.0036264732547597487	0.0036264732547597487
B. vulgatus	E. rectale	10	Niclosamide	B9	tech1	biol2	plate1	21	0.006974716652135951	0.0052083333333332905	0.0052083333333332905
B. vulgatus	E. rectale	10	Niclosamide	B9	tech1	biol3	plate1	22	0.006302521008403368	0	0
B. vulgatus	E. rectale	10	Niclosamide	C9	tech2	biol1	plate1	20	0.0020487986589681523	0	0
B. vulgatus	E. rectale	10	Niclosamide	C9	tech2	biol2	plate1	21	0.011333914559721022	0	0
B. vulgatus	E. rectale	10	Niclosamide	C9	tech2	biol3	plate1	22	0.009358288770053484	0.0036363636363636394	0.0036363636363636394
B. vulgatus	E. rectale	10	Niclosamide	D9	tech3	biol1	plate1	20	0.005587632706276779	0.0036264732547597487	0.0036264732547597487
B. vulgatus	E. rectale	10	Niclosamide	D9	tech3	biol2	plate1	21	0.017785527462946787	0.013888888888888853	0.0034722222222221774
B. vulgatus	E. rectale	10	Niclosamide	D9	tech3	biol3	plate1	22	0.01527883880825057	0.012727272727272688	0.0018181818181818197
B. vulgatus	F. nucleatum	0	Niclosamide	A11	tech1	biol1	plate6	178	1.0038603954935792	0.9891756869275603	0.9891756869275603
B. vulgatus	F. nucleatum	0	Niclosamide	A11	tech1	biol2	plate6	181	1.0222941387989932	1.0069324090121317	1.0069324090121317
B. vulgatus	F. nucleatum	0	Niclosamide	A11	tech1	biol3	plate3	183	0.9968264573242024	0.9906700593723495	0.9906700593723495
B. vulgatus	F. nucleatum	0	Niclosamide	B11	tech2	biol1	plate6	178	0.9961396045064209	1.012489592006661	1.012489592006661
B. vulgatus	F. nucleatum	0	Niclosamide	B11	tech2	biol2	plate6	181	0.9777058612010069	1.001733102253033	1.001733102253033
B. vulgatus	F. nucleatum	0	Niclosamide	B11	tech2	biol3	plate3	183	1.0031735426757975	1.0330788804071247	1.0330788804071247
B. vulgatus	F. nucleatum	0	Niclosamide	B3	tech1	biol1	plate2	20	1.045888743210339	0.9697493517718235	0.9697493517718235
B. vulgatus	F. nucleatum	0	Niclosamide	B3	tech1	biol2	plate2	21	1	0.9298387096774192	0.9298387096774192
B. vulgatus	F. nucleatum	0	Niclosamide	B3	tech1	biol3	plate2	22	1.005203314704182	0.9964881474978051	0.9964881474978051
B. vulgatus	F. nucleatum	0	Niclosamide	C3	tech2	biol1	plate2	20	1	0.9628349178910975	0.9628349178910975
B. vulgatus	F. nucleatum	0	Niclosamide	C3	tech2	biol2	plate2	21	1.009287372745133	0.9379032258064515	0.9379032258064515
B. vulgatus	F. nucleatum	0	Niclosamide	C3	tech2	biol3	plate2	22	0.9932549624205049	0.9859525899912204	0.9859525899912204
B. vulgatus	F. nucleatum	0	Niclosamide	D3	tech3	biol1	plate2	20	0.9861397265405506	0.9801210025929126	0.9801210025929126
B. vulgatus	F. nucleatum	0	Niclosamide	D3	tech3	biol2	plate2	21	0.9921414538310414	0.9314516129032256	0.9314516129032256
B. vulgatus	F. nucleatum	0	Niclosamide	D3	tech3	biol3	plate2	22	1	1.0035118525021949	1.0035118525021949
B. vulgatus	F. nucleatum	5	Niclosamide	A12	tech1	biol1	plate6	178	1.009375246198692	0.9691923397169024	0.9691923397169024
B. vulgatus	F. nucleatum	5	Niclosamide	A12	tech1	biol2	plate6	181	1.0453074433656957	0.9878682842287695	0.9878682842287695
B. vulgatus	F. nucleatum	5	Niclosamide	A12	tech1	biol3	plate3	183	1.012527142141306	0.9821882951653945	0.9821882951653945
B. vulgatus	F. nucleatum	5	Niclosamide	B12	tech2	biol1	plate6	178	0.9940912313873788	0.9891756869275603	0.9891756869275603
B. vulgatus	F. nucleatum	5	Niclosamide	B12	tech2	biol2	plate6	181	1.0080906148867315	0.9757365684575392	0.9757365684575392
B. vulgatus	F. nucleatum	5	Niclosamide	B12	tech2	biol3	plate3	183	1.0302321697010186	1.0144189991518238	1.0144189991518238
B. vulgatus	F. nucleatum	5	Niclosamide	B5	tech1	biol1	plate2	20	1.043266529312605	0.9576490924805531	0.9576490924805531
B. vulgatus	F. nucleatum	5	Niclosamide	B5	tech1	biol2	plate2	21	1.0132166458296124	0.9120967741935483	0.9120967741935483
B. vulgatus	F. nucleatum	5	Niclosamide	B5	tech1	biol3	plate2	22	1.0217768356137986	0.9929762949956101	0.9929762949956101
B. vulgatus	F. nucleatum	5	Niclosamide	C5	tech2	biol1	plate2	20	1.0116126615471062	0.947277441659464	0.947277441659464
B. vulgatus	F. nucleatum	5	Niclosamide	C5	tech2	biol2	plate2	21	0.9807108412216468	0.9056451612903225	0.9056451612903225
B. vulgatus	F. nucleatum	5	Niclosamide	C5	tech2	biol3	plate2	22	0.9982655617652727	0.987708516242318	0.987708516242318
B. vulgatus	F. nucleatum	5	Niclosamide	D5	tech3	biol1	plate2	20	0.9728413560591871	0.9593777009507345	0.9593777009507345
