strain	supernatant	conc	drug	well	tech_repl	biol_repl	plate_number	experiment_number	AUC	maxOD	finalOD
B. thetaiotaomicron	C. aerofaciens	10	Niclosamide	H6	tech2	biol3	plate2	149	0.004739737621667377	-0.0035118525021949117	-0.014047410008779647
B. thetaiotaomicron	C. comes	0	Niclosamide	C6	tech1	biol1	plate7	178	1.0089756639215324	1.056910569105691	1.056910569105691
B. thetaiotaomicron	C. comes	0	Niclosamide	C6	tech1	biol2	plate7	181	1.0125570776255708	1	1
B. thetaiotaomicron	C. comes	0	Niclosamide	C6	tech1	biol3	plate4	183	1.000173280194074	0.9960095770151635	0.994413407821229
B. thetaiotaomicron	C. comes	0	Niclosamide	D6	tech2	biol1	plate7	178	0.9910243360784677	1.045528455284553	1.045528455284553
B. thetaiotaomicron	C. comes	0	Niclosamide	D6	tech2	biol2	plate7	181	0.9874429223744292	1	1
B. thetaiotaomicron	C. comes	0	Niclosamide	D6	tech2	biol3	plate4	183	0.9998267198059262	1.0055865921787708	1.0055865921787708
B. thetaiotaomicron	C. comes	0	Niclosamide	E5	tech1	biol1	plate3	20	1	1.0726256983240223	1.0726256983240223
B. thetaiotaomicron	C. comes	0	Niclosamide	E5	tech1	biol2	plate3	21	0.9843597262952101	1.0552884615384617	1.0552884615384617
B. thetaiotaomicron	C. comes	0	Niclosamide	E5	tech1	biol3	plate3	22	0.9957669322709163	1.0411954765751212	1.0411954765751212
B. thetaiotaomicron	C. comes	0	Niclosamide	F5	tech2	biol1	plate3	20	0.9893742621015348	1.0407023144453311	1.0407023144453311
B. thetaiotaomicron	C. comes	0	Niclosamide	F5	tech2	biol2	plate3	21	1	1.0600961538461537	1.0600961538461537
B. thetaiotaomicron	C. comes	0	Niclosamide	F5	tech2	biol3	plate3	22	1	1.0331179321486268	1.0331179321486268
B. thetaiotaomicron	C. comes	0	Niclosamide	G5	tech3	biol1	plate3	20	1.0301062573789848	1.0470869912210694	1.0470869912210694
B. thetaiotaomicron	C. comes	0	Niclosamide	G5	tech3	biol2	plate3	21	1.0239491691104596	1.061698717948718	1.061698717948718
B. thetaiotaomicron	C. comes	0	Niclosamide	G5	tech3	biol3	plate3	22	1.0480577689243027	1.0541195476575123	1.0541195476575123
B. thetaiotaomicron	C. comes	5	Niclosamide	C7	tech1	biol1	plate7	178	0.013694827426667909	0.042276422764227634	0.042276422764227634
B. thetaiotaomicron	C. comes	5	Niclosamide	C7	tech1	biol2	plate7	181	0.9848744292237444	1.004950495049505	1.004950495049505
B. thetaiotaomicron	C. comes	5	Niclosamide	C7	tech1	biol3	plate4	183	1.0067579275688787	1.00877893056664	1.0071827613727053
B. thetaiotaomicron	C. comes	5	Niclosamide	D7	tech2	biol1	plate7	178	0.01221430554270381	0.030894308943089414	0.030894308943089414
B. thetaiotaomicron	C. comes	5	Niclosamide	D7	tech2	biol2	plate7	181	0.9551940639269407	1.0016501650165017	1.0016501650165017
B. thetaiotaomicron	C. comes	5	Niclosamide	D7	tech2	biol3	plate4	183	0.998093917865188	1.0183559457302473	1.0183559457302473
B. thetaiotaomicron	C. comes	5	Niclosamide	E7	tech1	biol1	plate3	20	0.9618260527351438	1.0263367916999202	1.0263367916999202
B. thetaiotaomicron	C. comes	5	Niclosamide	E7	tech1	biol2	plate3	21	0.9594330400782014	1.0520833333333335	1.0520833333333335
B. thetaiotaomicron	C. comes	5	Niclosamide	E7	tech1	biol3	plate3	22	0.9810756972111552	1.0201938610662358	1.0201938610662358
